date,is_weekend,dom,moy,week_of_month,month_sin_idx,weekday_idx,payday_idx,trend_idx,holiday_name,holiday_idx,promo_flag,promo_idx
2025-08-01,True,1,8,1,0.8605009782127336,0.8,1.08,1.0,,1.0,False,1.0
2025-08-02,True,2,8,1,0.8605009782127336,0.9,1.08,1.0008264462809917,,1.0,False,1.0
2025-08-03,False,3,8,1,0.8605009782127336,1.12,1.08,1.0016528925619834,,1.0,False,1.0
2025-08-04,False,4,8,1,0.8605009782127336,1.14,1.08,1.0024793388429751,,1.0,True,1.18
2025-08-05,False,5,8,1,0.8605009782127336,1.14,1.08,1.0033057851239668,,1.0,False,1.0
2025-08-06,False,6,8,1,0.8605009782127336,1.1,1.0,1.0041322314049588,,1.0,False,1.0
2025-08-07,False,7,8,1,0.8605009782127336,1.0,1.0,1.0049586776859505,,1.0,False,1.0
2025-08-08,True,8,8,1,0.8605009782127336,0.8,1.0,1.0057851239669422,,1.0,False,1.0
2025-08-09,True,9,8,2,0.8605009782127336,0.9,1.0,1.006611570247934,,1.0,False,1.0
2025-08-10,False,10,8,2,0.8605009782127336,1.12,1.0,1.0074380165289256,,1.0,False,1.0
2025-08-11,False,11,8,2,0.8605009782127336,1.14,1.0,1.0082644628099173,,1.0,False,1.0
2025-08-12,False,12,8,2,0.8605009782127336,1.14,1.0,1.009090909090909,,1.0,False,1.0
2025-08-13,False,13,8,2,0.8605009782127336,1.1,1.0,1.0099173553719007,,1.0,False,1.0
2025-08-14,False,14,8,2,0.8605009782127336,1.0,1.0,1.0107438016528925,,1.0,False,1.0
2025-08-15,True,15,8,2,0.8605009782127336,0.8,1.0,1.0115702479338844,,1.0,False,1.0
2025-08-16,True,16,8,3,0.8605009782127336,0.9,1.0,1.012396694214876,,1.0,False,1.0
2025-08-17,False,17,8,3,0.8605009782127336,1.12,1.0,1.0132231404958678,,1.0,False,1.0
2025-08-18,False,18,8,3,0.8605009782127336,1.14,1.0,1.0140495867768595,,1.0,False,1.0
2025-08-19,False,19,8,3,0.8605009782127336,1.14,1.0,1.0148760330578512,,1.0,False,1.0
2025-08-20,False,20,8,3,0.8605009782127336,1.1,1.0,1.015702479338843,,1.0,True,1.18
2025-08-21,False,21,8,3,0.8605009782127336,1.0,1.0,1.0165289256198347,,1.0,False,1.0
2025-08-22,True,22,8,3,0.8605009782127336,0.8,1.0,1.0173553719008264,,1.0,False,1.0
2025-08-23,True,23,8,3,0.8605009782127336,0.9,1.0,1.018181818181818,,1.0,False,1.0
2025-08-24,False,24,8,4,0.8605009782127336,1.12,1.0,1.01900826446281,,1.0,False,1.0
2025-08-25,False,25,8,4,0.8605009782127336,1.14,1.0,1.0198347107438017,,1.0,False,1.0
2025-08-26,False,26,8,4,0.8605009782127336,1.14,1.0,1.0206611570247934,,1.0,False,1.0
2025-08-27,False,27,8,4,0.8605009782127336,1.1,1.0,1.0214876033057851,,1.0,False,1.0
2025-08-28,False,28,8,4,0.8605009782127336,1.0,1.08,1.0223140495867769,,1.0,False,1.0
2025-08-29,True,29,8,4,0.8605009782127336,0.8,1.08,1.0231404958677686,,1.0,False,1.0
2025-08-30,True,30,8,4,0.8605009782127336,0.9,1.08,1.0239669421487603,,1.0,False,1.0
2025-08-31,False,31,8,5,0.8605009782127336,1.12,1.08,1.024793388429752,,1.0,False,1.0
2025-09-01,False,1,9,1,0.9067585047594003,1.14,1.08,1.0256198347107437,,1.0,True,1.18
2025-09-02,False,2,9,1,0.9067585047594003,1.14,1.08,1.0264462809917356,,1.0,False,1.0
